region_id,region_type,zipcode,state,metro_area,city,county
84348,zip,60093,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Winnetka,Cook County
84294,zip,60029,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Golf,Cook County
81260,zip,53170,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Salem,Kenosha County
84530,zip,60479,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Verona,Grundy County
84488,zip,60437, IL," Chicago-Naperville-Elgin, IL-IN-WI", Grundy County, Kinsman
78124,zip,46381, IN," Chicago-Naperville-Elgin, IL-IN-WI", Newton County,
78120,zip,46376,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Schneider,Lake County
84365,zip,60111,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Clare,DeKalb County
84517,zip,60466,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Park Forest,Cook County
84371,zip,60118,IL,"Chicago-Naperville-Elgin, IL-IN-WI",West Dundee,Kane County
399606,zip,60404,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Shorewood,Will County
84455,zip,60304,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Oak Park,Cook County
84575,zip,60546,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Riverside,Cook County
84555,zip,60521,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Hinsdale,DuPage County
84326,zip,60070,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Prospect Heights,Cook County
84574,zip,60545,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Plano,Kendall County
84480,zip,60429,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Hazel Crest,Cook County
84539,zip,60503,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Aurora,Will County
78083,zip,46303,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Cedar Lake,Lake County
78141,zip,46408,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
84508,zip,60457,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Hickory Hills,Cook County
84419,zip,60173,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Schaumburg,Cook County
84514,zip,60463,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Palos Heights,Cook County
84529,zip,60478,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Country Club Hills,Cook County
84281,zip,60012,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Crystal Lake,McHenry County
78087,zip,46310,IN,"Chicago-Naperville-Elgin, IL-IN-WI",DeMotte,Jasper County
78138,zip,46405,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake Station,Lake County
84500,zip,60449,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Monee,Will County
84465,zip,60410,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Channahon,Will County
78099,zip,46341,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Hebron,Porter County
777366,zip,60418,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Crestwood,Cook County
84657,zip,60661,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
78139,zip,46406,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,Lake County
84411,zip,60162,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Hillside,Cook County
84469,zip,60416,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Coal City,Grundy County
84336,zip,60081,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Spring Grove,McHenry County
84477,zip,60425,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Glenwood,Cook County
84387,zip,60136,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Gilberts,Kane County
84351,zip,60096,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Winthrop Harbor,Lake County
84440,zip,60195,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Schaumburg,Cook County
78121,zip,46377,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lowell,Lake County
78132,zip,46393,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Valparaiso,Porter County
84363,zip,60109,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Burlington,Kane County
78081,zip,46301,IN,"Chicago-Naperville-Elgin, IL-IN-WI",nan,Porter County
78122,zip,46379,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake Village,Newton County
84525,zip,60474,IL,"Chicago-Naperville-Elgin, IL-IN-WI",South Wilmington,Grundy County
84603,zip,60601,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84608,zip,60606,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84452,zip,60301,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Oak Park,Cook County
84604,zip,60602,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84605,zip,60603,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84606,zip,60604,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
