region_id,region_type,region,Zipcode,State,Metro Area,City,County
68111,zip,24354;VA;nan;Marion;Smyth County,24354,VA,nan,Marion,Smyth County
58900,zip,"2777;MA;Providence-Warwick, RI-MA;Swansea;Bristol County",02777,MA,"Providence-Warwick, RI-MA",Swansea,Bristol County
70642,zip,"29662;SC;Greenville-Anderson, SC;Mauldin;Greenville County",29662,SC,"Greenville-Anderson, SC",Mauldin,Greenville County
65573,zip,"18705;PA;Scranton--Wilkes-Barre, PA;Wilkes-Barre;Luzerne County",18705,PA,"Scranton--Wilkes-Barre, PA",Wilkes-Barre,Luzerne County
94356,zip,"83858;ID;Coeur d'Alene, ID;Rathdrum;Kootenai County",83858,ID,"Coeur d'Alene, ID",Rathdrum,Kootenai County
98426,zip,"95817;CA;Sacramento-Roseville-Folsom, CA;Sacramento;Sacramento County",95817,CA,"Sacramento-Roseville-Folsom, CA",Sacramento,Sacramento County
89205,zip,"71801;AR;Hope, AR;Hope;Hempstead County",71801,AR,"Hope, AR",Hope,Hempstead County
65944,zip,"19465;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD;Pottstown;Chester County",19465,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pottstown,Chester County
70560,zip,29571;SC;nan;Marion;Marion County,29571,SC,nan,Marion,Marion County
84246,zip,"59912;MT;Kalispell, MT;Columbia Falls;Flathead County",59912,MT,"Kalispell, MT",Columbia Falls,Flathead County
71991,zip,32428;FL;nan;Chipley;Washington County,32428,FL,nan,Chipley,Washington County
90372,zip,74361;OK;nan;Pryor;Mayes County,74361,OK,nan,Pryor,Mayes County
71150,zip,"30474;GA;Vidalia, GA;Vidalia;Toombs County",30474,GA,"Vidalia, GA",Vidalia,Toombs County
73695,zip,"36027;AL;Eufaula, AL-GA;Eufaula;Barbour County",36027,AL,"Eufaula, AL-GA",Eufaula,Barbour County
63610,zip,"14564;NY;Rochester, NY;Victor;Ontario County",14564,NY,"Rochester, NY",Victor,Ontario County
66908,zip,21550;MD;nan;Oakland;Garrett County,21550,MD,nan,Oakland,Garrett County
95030,zip,"85648;AZ;Nogales, AZ;Rio Rico;Santa Cruz County",85648,AZ,"Nogales, AZ",Rio Rico,Santa Cruz County
75332,zip,"39520;MS;Gulfport-Biloxi, MS;Bay Saint Louis;Hancock County",39520,MS,"Gulfport-Biloxi, MS",Bay Saint Louis,Hancock County
62636,zip,"12524;NY;Poughkeepsie-Newburgh-Middletown, NY;Fishkill;Dutchess County",12524,NY,"Poughkeepsie-Newburgh-Middletown, NY",Fishkill,Dutchess County
74905,zip,"38611;MS;Memphis, TN-MS-AR;Byhalia;Marshall County",38611,MS,"Memphis, TN-MS-AR",Byhalia,Marshall County
72945,zip,"33980;FL;Punta Gorda, FL;Port Charlotte;Charlotte County",33980,FL,"Punta Gorda, FL",Port Charlotte,Charlotte County
96847,zip,"92377;CA;Riverside-San Bernardino-Ontario, CA;Rialto;San Bernardino County",92377,CA,"Riverside-San Bernardino-Ontario, CA",Rialto,San Bernardino County
