region_id,region_type,Metro_Name,State
753889,metro,Hillsdale,MI
394796,metro,Lincoln,NE
395155,metro,Thomasville,GA
394961,metro,Paragould,AR
395228,metro,Willmar,MN
395034,metro,Rockingham,NC
394895,metro,Muscatine,IA
394785,metro,Lewisburg,PA
394297,metro,Aberdeen,SD
395032,metro,Rock Springs,WY
394844,metro,McComb,MS
753866,metro,Big Stone Gap,VA
394833,metro,Marshalltown,IA
394384,metro,Big Rapids,MI
394354,metro,Austin,MN
395219,metro,West Plains,MO
394934,metro,Okeechobee,FL
394690,metro,Houghton,MI
394881,metro,Moscow,ID
845159,metro,Poughkeepsie,NY
394730,metro,Juneau,AK
394476,metro,Clewiston,FL
395026,metro,Riverton,WY
394560,metro,El Dorado,AR
395083,metro,Selma,AL
394663,metro,Hannibal,MO
394315,metro,Alexandria,MN
394654,metro,Greenwood,MS
394434,metro,Cambridge,OH
395227,metro,Williston,ND
394526,metro,Defiance,OH
394715,metro,Jacksonville,IL
394300,metro,Ada,OK
394422,metro,Brownwood,TX
102001,metro,United States,
753899,metro,Los Angeles,CA
394463,metro,Chicago,IL
394514,metro,Dallas,TX
395209,metro,Washington,DC
394856,metro,Miami,FL
394347,metro,Atlanta,GA
395194,metro,Virginia Beach,VA
395005,metro,Providence,RI
394318,metro,Allentown,PA
394507,metro,Crawfordsville,IN
394904,metro,Natchitoches,LA
394894,metro,Murray,KY
394617,metro,Fremont,NE
394382,metro,Bennington,VT
395069,metro,Sault Ste. Marie,MI
394646,metro,Green Bay,WI
394488,metro,Columbus,GA
395107,metro,South Bend,IN
395109,metro,Spartanburg,SC
394436,metro,Campbellsville,KY
394573,metro,Escanaba,MI
394848,metro,Medford,OR
394459,metro,Charlottesville,VA
394681,metro,Hilton Head Island,SC
394765,metro,Lake Havasu City,AZ
395114,metro,Springfield,IL
394840,metro,Mayfield,KY
394745,metro,Kill Devil Hills,NC
394702,metro,Hutchinson,MN
394506,metro,Coshocton,OH
394522,metro,DeRidder,LA
394404,metro,Boston,MA
394976,metro,Phoenix,AZ
395057,metro,San Francisco,CA
395025,metro,Riverside,CA
394530,metro,Denver,CO
394358,metro,Baltimore,MD
395121,metro,St. Louis,MO
394943,metro,Orlando,FL
394952,metro,Oxnard,CA
394992,metro,Pontiac,IL
394525,metro,Decatur,IN
395191,metro,Vidalia,GA
394405,metro,Boulder,CO
395187,metro,Vernal,UT
394947,metro,Ottumwa,IA
394430,metro,Butte,MT
394499,metro,Corinth,MS
394417,metro,Brookhaven,MS
394569,metro,Emporia,KS
394471,metro,Clarksville,TN
394713,metro,Jackson,WY
394385,metro,Big Spring,TX
394557,metro,Effingham,IL
394777,metro,Laurinburg,NC
394334,metro,Appleton,WI
845160,metro,Prescott Valley,AZ
394813,metro,Macon,GA
395149,metro,Taos,NM
394324,metro,Americus,GA
394491,metro,Columbus,NE
394786,metro,Lewisburg,TN
394533,metro,Dickinson,ND
395207,metro,Washington,IN
753902,metro,Malvern,AR
394613,metro,Frankfort,IN
394414,metro,Brevard,NC
395141,metro,Susanville,CA
394835,metro,Martin,TN
394984,metro,Plainview,TX
753878,metro,Dayton,TN
394962,metro,Paris,TN
394774,metro,Las Vegas,NM
394383,metro,Berlin,NH
394376,metro,Beeville,TX
394749,metro,Kingsville,TX
394957,metro,Palm Bay,FL
394666,metro,Harrisburg,PA
395113,metro,Spokane,WA
395075,metro,Scranton,PA
394464,metro,Chico,CA
394623,metro,Gainesville,GA
394860,metro,Midland,TX
394707,metro,Iowa City,IA
394351,metro,Auburn,AL
395240,metro,Yakima,WA
395065,metro,Santa Cruz,CA
395223,metro,Wichita Falls,TX
394821,metro,Manhattan,KS
753871,metro,Breckenridge,CO
394783,metro,Lebanon,PA
753912,metro,Pinehurst,NC
395246,metro,Yuba City,CA
