region_id,region_type,region,County Name,State,Metro Area
3069,county,"Washington County;OR;Portland-Vancouver-Hillsboro, OR-WA",Washington County,OR,"Portland-Vancouver-Hillsboro, OR-WA"
3236,county,"Baltimore City;MD;Baltimore-Columbia-Towson, MD",Baltimore City,MD,"Baltimore-Columbia-Towson, MD"
3081,county,"Williamson County;TX;Austin-Round Rock-Georgetown, TX",Williamson County,TX,"Austin-Round Rock-Georgetown, TX"
3152,county,"Anne Arundel County;MD;Baltimore-Columbia-Towson, MD",Anne Arundel County,MD,"Baltimore-Columbia-Towson, MD"
2734,county,"Jefferson County;CO;Denver-Aurora-Lakewood, CO",Jefferson County,CO,"Denver-Aurora-Lakewood, CO"
1676,county,"Douglas County;NE;Omaha-Council Bluffs, NE-IA",Douglas County,NE,"Omaha-Council Bluffs, NE-IA"
1558,county,"Bristol County;MA;Providence-Warwick, RI-MA",Bristol County,MA,"Providence-Warwick, RI-MA"
2251,county,"Delaware County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
771,county,"Union County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Union County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2986,county,"New Castle County;DE;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
146,county,"Dane County;WI;Madison, WI",Dane County,WI,"Madison, WI"
669,county,"Pasco County;FL;Tampa-St. Petersburg-Clearwater, FL",Pasco County,FL,"Tampa-St. Petersburg-Clearwater, FL"
3033,county,"Stanislaus County;CA;Modesto, CA",Stanislaus County,CA,"Modesto, CA"
2776,county,"Lancaster County;PA;Lancaster, PA",Lancaster County,PA,"Lancaster, PA"
1349,county,"Ramsey County;MN;Minneapolis-St. Paul-Bloomington, MN-WI",Ramsey County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2063,county,"Volusia County;FL;Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,FL,"Deltona-Daytona Beach-Ormond Beach, FL"
1404,county,"Summit County;OH;Akron, OH",Summit County,OH,"Akron, OH"
2312,county,"Guilford County;NC;Greensboro-High Point, NC",Guilford County,NC,"Greensboro-High Point, NC"
2980,county,"Montgomery County;OH;Dayton-Kettering, OH",Montgomery County,OH,"Dayton-Kettering, OH"
1611,county,"Chester County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
2033,county,"Spokane County;WA;Spokane-Spokane Valley, WA",Spokane County,WA,"Spokane-Spokane Valley, WA"
2482,county,"Plymouth County;MA;Boston-Cambridge-Newton, MA-NH",Plymouth County,MA,"Boston-Cambridge-Newton, MA-NH"
911,county,"Camden County;NJ;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
1964,county,"Passaic County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Passaic County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2537,county,"Sedgwick County;KS;Wichita, KS",Sedgwick County,KS,"Wichita, KS"
2934,county,"Greenville County;SC;Greenville-Anderson, SC",Greenville County,SC,"Greenville-Anderson, SC"
197,county,"Kane County;IL;Chicago-Naperville-Elgin, IL-IN-WI",Kane County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
353,county,"Adams County;CO;Denver-Aurora-Lakewood, CO",Adams County,CO,"Denver-Aurora-Lakewood, CO"
1241,county,"Morris County;NJ;New York-Newark-Jersey City, NY-NJ-PA",Morris County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
448,county,"Clark County;WA;Portland-Vancouver-Hillsboro, OR-WA",Clark County,WA,"Portland-Vancouver-Hillsboro, OR-WA"
221,county,"Lake County;IN;Chicago-Naperville-Elgin, IL-IN-WI",Lake County,IN,"Chicago-Naperville-Elgin, IL-IN-WI"
2511,county,"Richmond County;NY;New York-Newark-Jersey City, NY-NJ-PA",Richmond County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
1396,county,"Sonoma County;CA;Santa Rosa-Petaluma, CA",Sonoma County,CA,"Santa Rosa-Petaluma, CA"
287,county,"Polk County;IA;Des Moines-West Des Moines, IA",Polk County,IA,"Des Moines-West Des Moines, IA"
66,county,"Ada County;ID;Boise City, ID",Ada County,ID,"Boise City, ID"
1485,county,"Washoe County;NV;Reno, NV",Washoe County,NV,"Reno, NV"
3247,county,"Prince William County;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
215,county,"Knox County;TN;Knoxville, TN",Knox County,TN,"Knoxville, TN"
2465,county,"Onondaga County;NY;Syracuse, NY",Onondaga County,NY,"Syracuse, NY"
1442,county,"Tulare County;CA;Visalia, CA",Tulare County,CA,"Visalia, CA"
2538,county,"Seminole County;FL;Orlando-Kissimmee-Sanford, FL",Seminole County,FL,"Orlando-Kissimmee-Sanford, FL"
1746,county,"Hampden County;MA;Springfield, MA",Hampden County,MA,"Springfield, MA"
2896,county,"Burlington County;NJ;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
3286,county,"Virginia Beach City;VA;Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
3266,county,"East Baton Rouge Parish;LA;Baton Rouge, LA",East Baton Rouge Parish,LA,"Baton Rouge, LA"
