region_id,region_type,zipcode,state,metro_area,city,county
85413,zip,62311, IL," Fort Madison-Keokuk, IA-IL-MO", Hancock County, Augusta
68315,zip,24839, WV, Wyoming County, Hanover,
69114,zip,26690, WV, Nicholas County, Swiss,
68080,zip,24282, VA, Lee County, Saint Charles,
83635,zip,58374, ND, Eddy County, Sheyenne,
70527,zip,29516, SC," Bennettsville, SC", Marlboro County, Blenheim
86129,zip,63633, MO, Reynolds County, Ellington,
92882,zip,79244, TX, Motley County, Matador,
88733,zip,70658, LA, Allen Parish, Reeves,
83827,zip,58768, ND," Minot, ND", Ward County, Velva
87322,zip,66780, KS," Pittsburg, KS", Crawford County, Walnut
83746,zip,58572, ND," Bismarck, ND", Burleigh County, Sterling
64295,zip,15753, PA," DuBois, PA", Clearfield County, La Jose
87401,zip,67008, KS," Wichita, KS", Butler County, Atlanta
88853,zip,71003, LA, Claiborne Parish, Athens,
97388,zip,93645, CA," Madera, CA", Madera County, O Neals
89120,zip,71473, LA, Winn Parish, Dodson,
85837,zip,62979, IL, Gallatin County, Ridgway,
92696,zip,78829, TX, Zavala County, Batesville,
87414,zip,67024, KS, Chautauqua County, Cedar Vale,
83116,zip,57059, SD, Bon Homme County, Scotland,
94578,zip,84520, UT, Price, Carbon County, East Carbon
85762,zip,62892, IL, Fayette County, Vernon,
93774,zip,81401,CO,"Montrose, CO",Montrose,Montrose County
68452,zip,25093, WV," Charleston, WV", Boone County, Whitesville
71700,zip,31821, GA," Columbus, GA-AL", Stewart County,
85227,zip,61917, IL, Edgar County, Brocton,
80002,zip,49873, MI," Marinette, WI-MI", Menominee County, Bark River
83846,zip,58792, ND," Minot, ND", McHenry County,
68668,zip,25608, WV, Mingo County, Gilbert,
87973,zip,68381, NE," Beatrice, NE", Gage County, Liberty
68465,zip,25118, WV," Beckley, WV", Fayette County, Montgomery
87170,zip,66422, KS," Manhattan, KS", Pottawatomie County, Emmett
83832,zip,58773, ND, Burke County, Powers Lake,
87424,zip,67038, KS," Winfield, KS", Cowley County, Dexter
68474,zip,25133, WV," Charleston, WV", Clay County, Clay
58512,zip,01842, MA, Boston-Cambridge-Newton, Essex County, Lawrence
95277,zip,87045, NM, Grants, Cibola County, Prewitt
86978,zip,65754, MO," Springfield, MO", Christian County, Spokane
75813,zip,40858, KY, Leslie County, Mozelle,
83639,zip,58381, ND, Benson County, Warwick,
58090,zip,00765, CO, Gunnison County, Ohio City,
68698,zip,25669, WV," Huntington-Ashland, WV-KY-OH", Wayne County, Fort Gay
83618,zip,58348, ND, Benson County, Maddock,
87413,zip,67023, KS," Winfield, KS", Cowley County, Cambridge
89119,zip,71472, LA," Alexandria, LA", Rapides Parish, Sieper
83757,zip,58621, ND, Golden Valley County, Beach,
92552,zip,78614, TX, Gonzales County, Cost,
69111,zip,26680, WV, Greenbrier County, Mount Lookout,
94057,zip,83214, ID," Pocatello, ID", Bannock County, Arimo
68277,zip,24715, WV," Bluefield, WV-VA", Mercer County, Bramwell
97163,zip,93224, CA," San Luis Obispo-Paso Robles, CA", San Luis Obispo County, Fellows
68349,zip,24882, WV, Wyoming County, Simon,
90301,zip,74112,OK,"Tulsa, OK",Tulsa,Tulsa County
68490,zip,25161, WV," Beckley, WV", Fayette County, Montgomery
68416,zip,25030, WV," Charleston, WV", Clay County, Clendenin
88553,zip,70355, LA," Houma-Thibodaux, LA", Lafourche Parish, Gheens
85358,zip,62238, IL, Perry County, Cutler,
87733,zip,67741, KS, Sherman County, Kanorado,
90073,zip,73549, OK," Altus, OK", Jackson County, Headrick
75941,zip,41159, KY, Lawrence County, Martha,
68297,zip,24815, WV, McDowell County, Berwind,
64984,zip,17249, PA," Huntingdon, PA", Huntingdon County, Rockhill
100216,zip,99371, WA," Othello, WA", Adams County, Ritzville
85829,zip,62970, IL, Pulaski County, Olmsted,
64594,zip,16420, PA," Warren, PA", Warren County, Grand Valley
87432,zip,67051, KS," Wichita, KS", Sumner County, Geuda Springs
83859,zip,58845, ND, Divide County, Grenora,
59227,zip,03832, NH, Carroll County, Eaton,
83287,zip,57433, SD," Aberdeen, SD", Brown County, Columbia
75957,zip,41203, KY, Martin County,,
58763,zip,02454, MA, Boston-Cambridge-Newton, Middlesex County, Waltham
75820,zip,40874, KY, Leslie County, Warbranch,
76034,zip,41524, KY, Pike County, Fedscreek,
85849,zip,62996, IL, Pulaski County, Villa Ridge,
87553,zip,67352, KS, Elk County, Longton,
83303,zip,57452, SD, Walworth County, Java,
83702,zip,58494, ND," Bismarck, ND", Burleigh County, Wing
64508,zip,16235, PA, Clarion County, Lucinda,
70541,zip,29543, SC, Dillon County, Fork,
75489,zip,40036, KY," Louisville/Jefferson County, KY-IN", Henry County, Pleasureville
98491,zip,95939, CA, Glenn County, Elk Creek,
93089,zip,79788, TX, Ward County, Wickett,
87625,zip,67510, KS," Hutchinson, KS", Reno County, Abbyville
87483,zip,67142, KS, Kingman County, Spivey,
88289,zip,68972, NE, Franklin County, Riverton,
87381,zip,66952, KS, Smith County, Lebanon,
58851,zip,02663, TX, Houston-The Woodlands-Sugar Land, Liberty County, Rye
93569,zip,80834, CO, Kit Carson County, Seibert,
88249,zip,68925, NE," Hastings, NE", Adams County, Roseland
87549,zip,67346, KS, Elk County, Grenola,
85804,zip,62942, IL," Carbondale-Marion, IL", Jackson County, Grand Tower
88259,zip,68936, NE, Furnas County, Edison,
87552,zip,67351, KS," Coffeyville, KS", Montgomery County, Liberty
67673,zip,23358, VA, Accomack County, Hacksneck,
68876,zip,26074, WV," Wheeling, WV-OH", Ohio County, West Liberty
75087,zip,38950, MS, Tallahatchie County, Philipp,
