region_id,region_type,city,state,metro_area,county
10815,city,Chino Hills,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County
19573,city,New Britain,CT,"Hartford-East Hartford-Middletown, CT",Hartford County
18029,city,Ewa Beach,HI,"Urban Honolulu, HI",Honolulu County
30691,city,Caldwell,ID,"Boise City, ID",Canyon County
45401,city,Gary,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County
53788,city,Palm Beach Gardens,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County
8814,city,Queen Creek,AZ,"Phoenix-Mesa-Chandler, AZ",Pinal County
26469,city,Petaluma,CA,"Santa Rosa-Petaluma, CA",Sonoma County
52308,city,Great Falls,MT,"Great Falls, MT",Cascade County
14703,city,Woodbury,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County
27177,city,South Jordan,UT,"Salt Lake City, UT",Salt Lake County
51659,city,Davis,CA,"Sacramento-Roseville-Folsom, CA",Yolo County
13031,city,North Port,FL,"North Port-Sarasota-Bradenton, FL",Sarasota County
53588,city,Norcross,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
52899,city,Lauderhill,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
3334,city,Aiken,SC,"Augusta-Richmond County, GA-SC",Aiken County
