region_id,region_type,city,state,state_region,county,value
37665,city,Burnham,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,46630.56605
55065,city,Wayne,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,553952.716
41499,city,Village of Lakewood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,385628.31614999997
47750,city,South Barrington,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1025493.5685
4794,city,Fox River Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,245428.1416
46402,city,Maple Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,216972.19905
53979,city,Posen,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,141905.0038
38844,city,Hainesville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,182682.11895
8513,city,Hometown,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,110305.66500000001
7734,city,Wadsworth,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,299326.34589999996
43636,city,East Dundee,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,209363.10080000001
13512,city,Richmond,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,221360.57265
9238,city,Stone Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,145480.64740000002
20869,city,Twin Lakes,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,169757.997
398703,city,Randall,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,241427.1787
31431,city,Elwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,188890.28100000002
50935,city,Bedford Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,178709.7892
26246,city,Oakbrook Terrace,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,319518.825
14220,city,Union,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,272048.19515000004
33505,city,Porter,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,154339.14695000002
6215,city,North Barrington,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,660682.47115
50311,city,Lake Village,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Newton County,127283.49470000001
19604,city,Newark,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,298095.4048
53997,city,Prairie Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,345686.75320000004
25484,city,Lakemoor,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,212388.23915
40969,city,South Chicago Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,98301.457795
398205,city,Wheatland,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,199057.3283
5687,city,Long Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,130913.0401
45870,city,Indian Head Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,267444.1749
139933,city,Pistakee Highlands,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,178616.862
25871,city,Mettawa,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,700088.6988
50492,city,Fox Lake Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,176693.159
39716,city,McCullom Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,134944.0234
46013,city,Kenilworth,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1626511.564
