region_id,region_type,region
685,county,"Pinal County;AZ;Phoenix-Mesa-Chandler, AZ"
3166,county,"Hillsborough County;NH;Manchester-Nashua, NH"
1585,county,"Cameron County;TX;Brownsville-Harlingen, TX"
2661,county,"Clackamas County;OR;Portland-Vancouver-Hillsboro, OR-WA"
2507,county,"Richland County;SC;Columbia, SC"
1208,county,"Mobile County;AL;Mobile, AL"
272744,neigh,"Alexandria West;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV;Alexandria;Alexandria City"
1887,county,"Loudoun County;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV"
274973,neigh,"Park State East;IN;Fort Wayne, IN;Fort Wayne;Allen County"
274654,neigh,"Nena;CA;Riverside-San Bernardino-Ontario, CA;San Bernardino;San Bernardino County"
276311,neigh,"East Reno;NV;Reno, NV;Reno;Washoe County"
394859,metro,"Midland, MI"
41783,city,"Woodleaf;NC;Charlotte-Concord-Gastonia, NC-SC;Rowan County"
1721,county,"Genesee County;MI;Flint, MI"
36867,city,"Deer Trail;CO;Denver-Aurora-Lakewood, CO;Arapahoe County"
19912,city,"Perryville;KY;Danville, KY;Boyle County"
52200,city,"Geraldine;AL;Fort Payne, AL;De Kalb County"
49145,city,"Glenbrook;NV;Gardnerville Ranchos, NV;Douglas County"
28805,city,"Hanley Hills;MO;St. Louis, MO-IL;Saint Louis County"
37917,city,"Cleveland;OK;Tulsa, OK;Pawnee County"
234772,city,"Lakeside;TX;Dallas-Fort Worth-Arlington, TX;Tarrant County"
193476,neigh,"Brighton Beach;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Kings County"
32868,city,"Millport;NY;Elmira, NY;Chemung County"
35023,city,"Casnovia;MI;Muskegon, MI;Muskegon County"
270835,neigh,"Financial District;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;New York County"
36922,city,Freedom;NH;nan;Carroll County
184793,city,"Washington Park;NC;Washington, NC;Beaufort County"
14124,city,"Thomasboro;IL;Champaign-Urbana, IL;Champaign County"
20631,city,"Star City;WV;Morgantown, WV;Monongalia County"
42676,city,"Parksville;KY;Danville, KY;Boyle County"
38408,city,"Enville;TN;Jackson, TN;Chester County"
826192,city,"Russell;NY;Ogdensburg-Massena, NY;Saint Lawrence County"
